seq,expr,frame,gt_track_id,matched_tracker_id,best_iou,gt_match,detector_hit,tracker_assoc,aligner_gmc_score,ikun_logit,fusion_gate,pred_match,ikun_frame_in_cache,failure_class
0011,pedestrian-who-are-walking,1,53,,0.0,1,1,lost,,,,0,1,FN_tracker
0011,pedestrian-who-are-walking,2,53,,0.0,1,1,lost,,,,0,1,FN_tracker
0011,pedestrian-who-are-walking,3,53,,0.0,1,1,lost,,,,0,1,FN_tracker
0011,pedestrian-who-are-walking,4,53,,0.0,1,1,lost,,,,0,1,FN_tracker
0011,pedestrian-who-are-walking,5,53,,0.0,1,1,lost,,,,0,1,FN_tracker
0011,pedestrian-who-are-walking,6,53,,0.0,1,1,lost,,,,0,1,FN_tracker
0011,pedestrian-who-are-walking,7,53,,0.0,1,1,lost,,,,0,0,FN_ikun_coverage
0011,pedestrian-who-are-walking,8,53,,0.0,1,1,lost,,,,0,0,FN_ikun_coverage
0011,pedestrian-who-are-walking,9,53,,0.0,1,1,lost,,,,0,0,FN_ikun_coverage
0011,pedestrian-who-are-walking,10,53,2.0,0.6062263426242959,1,1,stable,0.8258394843480443,,,0,0,FN_ikun_coverage
0011,pedestrian-who-are-walking,11,53,2.0,0.6904167565882506,1,1,stable,0.782254106951486,,,0,1,TN
0011,pedestrian-who-are-walking,12,53,2.0,0.8435760492062314,1,1,stable,0.7563248996312001,,,0,0,FN_ikun_coverage
0011,pedestrian-who-are-walking,13,53,2.0,0.8112894021697495,1,1,stable,0.7404024533368271,,,0,0,FN_ikun_coverage
0011,pedestrian-who-are-walking,14,53,2.0,0.5891724064793425,1,1,stable,0.7229389368239452,,,0,0,FN_ikun_coverage
0011,pedestrian-who-are-walking,15,53,2.0,0.7003671141112559,1,1,stable,0.7015855329105326,,,0,1,TN
0011,pedestrian-who-are-walking,16,53,2.0,0.6809830931504104,1,1,stable,0.6843934133829834,,,0,0,FN_ikun_coverage
0011,pedestrian-who-are-walking,17,53,2.0,0.7844437402526703,1,0,stable,0.6577892936929014,,,0,0,FN_ikun_coverage
0011,pedestrian-who-are-walking,18,53,2.0,0.7989844371012208,1,1,stable,0.6298005972204161,,,0,0,FN_ikun_coverage
0011,pedestrian-who-are-walking,19,53,2.0,0.7307798677524636,1,1,stable,0.6009127045182187,,,0,1,TN
0011,pedestrian-who-are-walking,20,53,2.0,0.8323194567132188,1,1,stable,0.574227536723715,,,0,0,FN_ikun_coverage
0011,pedestrian-who-are-walking,21,53,2.0,0.6978855433995571,1,1,stable,0.5519009068659263,,,0,0,FN_ikun_coverage
0011,pedestrian-who-are-walking,21,117,,0.0,1,1,lost,,,,0,0,FN_ikun_coverage
0011,pedestrian-who-are-walking,22,53,2.0,0.8594006553645396,1,1,stable,0.5328424634085283,,,0,0,FN_ikun_coverage
0011,pedestrian-who-are-walking,22,117,,0.0,1,1,lost,,,,0,0,FN_ikun_coverage
